SBD,HoTen,NgaySinh,KV,DT,UT,Toan,Van,Ly,Hoa,Sinh,Su,Dia,Anh,Nga,Phap,Trung,Duc,Nhat
SPB093747,Nguyen Thi Hue,3/5/1997,KV1,Khong,Khong,7,4.5,NA,8.5,NA,NA,5.5,6.5,NA,NA,NA,NA,NA
TMA086080,Tran Xuan Hue,5/28/1997,KV2-NT,Khong,Khong,4.5,6.75,7.5,9.25,NA,NA,NA,5.75,NA,NA,NA,NA,NA
TMA077975,Le Thi Kiem,7/29/1997,KV2-NT,Khong,Khong,4.75,4.25,NA,8.5,NA,NA,7.5,8.25,NA,NA,NA,NA,NA
KTA051081,Nguyen Thi Dung,2/2/1997,KV2,Khong,Khong,6.25,8.5,3,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA
ABC035201,Tran Van Nga,2/25/1997,KV3,Khong,Khong,4.75,7.75,NA,7.25,6.25,7,NA,8.25,NA,NA,NA,NA,NA
ABC075780,Nguyen Van Hao,1/7/1997,KV2-NT,Khong,Khong,6.75,3.75,5.75,NA,NA,NA,8,6.5,NA,NA,NA,NA,NA
SPB072865,Nguyen Nhu Hue,10/19/1997,KV2-NT,Khong,Khong,6.25,4.75,6,6.5,NA,NA,8.75,NA,NA,NA,NA,NA,NA
KTA071043,Dang Van Kiem,12/4/1997,KV3,Khong,Khong,6.5,6.5,NA,6,6.25,NA,8.75,4.75,NA,NA,NA,NA,NA
KTA000278,Nguyen Thi Dung,4/14/1997,KV2-NT,Khong,Khong,9,6.25,5.25,6.75,4.5,NA,NA,4.5,NA,NA,NA,NA,NA
TLA024385,Nguyen Thi Hai,9/19/1997,KV1,Khong,Khong,5,NA,8.25,NA,7.25,NA,6.75,2.75,NA,NA,NA,NA,NA
TMA020624,Nguyen Dang Hung,6/17/1997,KV2-NT,Khong,Khong,8,7,NA,6.25,5.5,NA,NA,5,NA,NA,NA,NA,NA
BKT029246,Nguyen Thi Quan,11/2/1997,KV3,Khong,Khong,6.5,8,6.75,7.25,NA,NA,5.25,2.75,NA,NA,NA,NA,NA
SPB087425,Nguyen Van Kiem,1/17/1997,KV2-NT,Khong,Khong,6.75,6.25,7.25,6.25,4,NA,NA,5.5,NA,NA,NA,NA,NA
ABC048187,Nguyen Van Giang,4/23/1997,KV3,Khong,Khong,7,7.5,5.75,6.75,NA,NA,NA,4,NA,NA,NA,NA,NA
ABC024583,Nguyen Thi Cao,10/6/1997,KV3,Khong,Khong,4.5,7.75,6.5,4.5,NA,NA,9,NA,NA,NA,NA,NA,NA
ABC085677,Nguyen Xuan Ha,9/25/1997,KV2-NT,Khong,Khong,6.25,5.5,4.5,7.5,NA,NA,NA,8.5,NA,NA,NA,NA,NA
CON057075,Nguyen Van Hai,1/1/1998,KV2,Khong,Khong,6.25,6.75,6,5.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
TLA030530,Ngo Thi Hung,8/5/1997,KV2-NT,Khong,Khong,5.25,7.25,4.75,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
KTA036237,Hoang Thi Anh,9/21/1997,KV2-NT,Khong,Khong,6.5,7.25,NA,8.5,5.75,NA,NA,2.5,NA,NA,NA,NA,NA
KTA056792,Nguyen Thi Cao,12/14/1997,KV2-NT,Khong,Khong,7,5.5,5,7,NA,NA,7.75,7.5,NA,NA,NA,NA,NA
CON061800,Pham Thi Phuong,8/7/1997,KV3,Khong,Khong,9,5.5,7.75,4.5,NA,NA,NA,7.25,NA,NA,NA,NA,NA
KTA026044,Nguyen Van Kiem,12/7/1997,KV1,Khong,Khong,7.75,5.25,7.25,NA,NA,NA,8,3.25,NA,NA,NA,NA,NA
TMA032697,Dang Thi Kien,2/24/1997,KV3,Khong,Khong,8,5.5,4.5,8,NA,NA,5.25,NA,NA,NA,NA,NA,NA
SPB034931,Tran Van Cao,7/25/1997,KV3,Khong,Khong,4.75,5.75,8.25,7,4.75,NA,6,6,NA,NA,NA,NA,NA
KTA039595,Nguyen Van Giang,12/21/1997,KV2-NT,Khong,Khong,8,6.75,2.25,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
CON057303,Dang Van Hao,9/7/1997,KV2-NT,Khong,Khong,5.75,5.5,6.75,NA,NA,NA,NA,6.25,NA,NA,NA,NA,NA
TMA092643,Pham Van Hue,10/17/1997,KV1,Khong,Khong,7.5,7.25,5.75,5.75,NA,6.25,NA,NA,NA,NA,NA,NA,NA
CON005655,Nguyen Van Huong,1/1/1998,KV2-NT,Khong,Khong,6,NA,6.25,7.75,NA,NA,7.5,2.5,NA,NA,NA,NA,NA
TMA014496,Tran Van Cao,10/15/1997,KV2-NT,Khong,Khong,6.25,4,NA,6,NA,NA,7.25,6.5,NA,NA,NA,NA,NA
BKT080245,Nguyen Thi Khoa,3/26/1997,KV2-NT,Khong,Khong,7.5,5,3.75,6.5,NA,NA,NA,8.75,NA,NA,NA,NA,NA
KTA070180,Pham Van Nga,11/5/1997,KV2-NT,Khong,Khong,5.25,5,8,NA,9,NA,NA,5.75,NA,NA,NA,NA,NA
KTA016984,Le Thi Hue,9/27/1997,KV2,Khong,Khong,8.5,7.75,8.25,NA,5.5,NA,7,2.75,NA,NA,NA,NA,NA
KTA013605,Phan Van Nga,5/28/1997,KV2-NT,Khong,Khong,7,5.5,5.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABC036309,Nguyen Van Hao,4/12/1997,KV3,Khong,Khong,7.25,6,7.75,8.5,NA,NA,6.75,3.25,NA,NA,NA,NA,NA
ABC007903,Nguyen Thi Phuong,5/28/1997,KV2,Khong,Khong,6.75,6.5,5.75,NA,NA,NA,8.5,3.75,NA,NA,NA,NA,NA
TLA022634,Tran Minh Thang,3/20/1997,KV3,Khong,Khong,3.25,6,5.75,7.5,NA,NA,NA,7.75,NA,NA,NA,NA,NA
TLA066909,Nguyen Van Sang,6/19/1997,KV2-NT,Khong,Khong,6.25,7.5,4.25,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA
TLA022756,Hoang Van Anh,1/31/1997,KV2,NDT1,Khong,6.5,7,NA,6.5,NA,7.25,NA,3,NA,NA,NA,NA,NA
TMA069098,Pham Thi Tuan,1/15/1997,KV1,Khong,Khong,6.25,NA,5.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABC086722,Le Minh Ha,12/15/1997,KV1,Khong,Khong,5.25,5.75,NA,6.5,NA,7,8,3.5,NA,NA,NA,NA,NA
BKT047783,Tran Minh Hai,5/2/1997,KV2-NT,Khong,Khong,3.75,6.75,8.75,6.5,NA,NA,5.25,6.5,NA,NA,NA,NA,NA
TMA055947,Phan Nhu Hai,8/15/1997,KV2-NT,Khong,Khong,3.25,4.5,8.5,7.5,NA,NA,6,6.75,NA,NA,NA,NA,NA
TMA024513,Nguyen Van Giang,12/31/1997,KV3,Khong,Khong,6.5,4.75,6.5,NA,NA,NA,7,7,NA,NA,NA,NA,NA
TLA054425,Tran Van Nga,6/15/1997,KV3,Khong,Khong,7,4,6.5,5,NA,8.25,NA,NA,NA,NA,NA,NA,NA
KTA030284,Tran Thi Sang,10/16/1997,KV2,Khong,Khong,6.25,8.75,5,6.75,NA,NA,NA,4,NA,NA,NA,NA,NA
BKT034231,Nguyen Thi Hue,2/26/1997,KV2-NT,Khong,Khong,5.25,6.25,7.25,8.75,NA,NA,NA,2.5,NA,NA,NA,NA,NA
BKT096310,Ho Van Tuan,7/6/1997,KV1,Khong,Khong,5.5,4.75,NA,8,4.5,NA,NA,7.5,NA,NA,NA,NA,NA
ABC095087,Tran Thi Kiem,11/4/1997,KV2-NT,Khong,Khong,6.75,5.75,6.5,7.5,6.25,NA,NA,5,NA,NA,NA,NA,NA
SPB005654,Nguyen Van Khoa,1/10/1997,KV1,Khong,Khong,7.5,7,4.75,NA,NA,NA,NA,5.75,NA,NA,NA,NA,NA
KTA051508,Ly Van Giang,10/4/1997,KV1,Khong,Khong,5,5.75,5.5,8.5,NA,NA,6.25,NA,NA,NA,NA,NA,NA
CON062581,Duong Nhu Nguyet,4/28/1997,KV2,Khong,Khong,7.75,4,9.5,NA,NA,NA,NA,4.25,NA,NA,NA,NA,NA
BKT078668,Nguyen Nhu Cao,12/20/1997,KV2,Khong,Khong,7.5,7.75,NA,7,NA,NA,7.5,2.75,NA,NA,NA,NA,NA
SPB070781,Tran Van Anh,11/28/1997,KV2-NT,Khong,Khong,7.25,4.25,NA,7.25,6.25,NA,NA,NA,NA,NA,NA,NA,NA
KTA000002,Tran Van Phuong,12/9/1997,KV2,Khong,Khong,6.5,4.5,6.5,4.5,NA,8.5,NA,9,NA,NA,NA,NA,NA
TLA015921,Nguyen Van Anh,5/9/1997,KV2,Khong,Khong,4.75,6.25,6.25,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABC072473,Vu Van Khoa,6/27/1997,KV3,Khong,Khong,6.5,7.25,7.5,NA,NA,NA,7.75,3.25,NA,NA,NA,NA,NA
TMA021030,Pham Van Hoa,5/5/1997,KV2-NT,Khong,Khong,7,3.5,5.5,8.75,NA,NA,7.25,NA,NA,NA,NA,NA,NA
TLA043330,Le Minh Dung,9/22/1997,KV2-NT,Khong,Khong,6.75,5.25,7.25,7,NA,NA,NA,5,NA,NA,NA,NA,NA
BKT039415,Tran Van Kien,2/17/1997,KV2,Khong,Khong,5,5.25,6.5,6.5,NA,NA,NA,7.25,NA,NA,NA,NA,NA
TLA039298,Vu Van Kien,2/6/1997,KV2-NT,Khong,Khong,6,6.75,7.5,3.5,NA,NA,NA,6.25,NA,NA,NA,NA,NA
TMA042676,Nguyen Xuan Quan,2/28/1997,KV1,Khong,Khong,6.75,6.75,4.75,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
TLA009449,Nguyen Thi Nga,3/27/1997,KV3,Khong,Khong,8.5,5.75,7,NA,NA,7.5,NA,3,NA,NA,NA,NA,NA
SPB071207,Nguyen Hai Hoa,11/22/1997,KV3,Khong,Khong,7.75,7.75,6.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
BKT055813,Hoang Thi Quan,11/13/1997,KV2-NT,Khong,Khong,4.75,6.5,7,7.25,NA,4.25,NA,6.75,NA,NA,NA,NA,NA
TLA097663,Bui Thi Quan,4/8/1997,KV2-NT,Khong,Khong,8.25,7.5,6.5,5,NA,NA,5.75,5.75,NA,NA,NA,NA,NA
BKT051586,Le Thi Ha,12/24/1997,KV2,Khong,Khong,8,5.5,7,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
TLA049959,Nguyen Hai Hue,11/28/1997,KV2-NT,Khong,Khong,6.25,7,NA,9,7,NA,NA,NA,NA,NA,NA,NA,NA
TMA003875,Nguyen Nhu Huong,7/27/1997,KV2-NT,Khong,Khong,2.5,NA,9,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMA020267,Tran Thi Ha,12/12/1997,KV2-NT,Khong,Khong,7.5,7.75,6,5.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
BKT076422,Phan Thi Nguyet,9/1/1997,KV3,Khong,Khong,6.5,7,5.25,NA,9.5,NA,NA,4,NA,NA,NA,NA,NA
TLA084257,Phan Thi Hung,12/23/1997,KV3,Khong,Khong,5.75,5.75,NA,8.75,5.5,NA,NA,NA,NA,NA,NA,NA,NA
TMA095887,Tran Thi Nguyet,12/3/1997,KV2-NT,Khong,Khong,5.5,7.5,6.5,7,5,NA,NA,NA,NA,NA,NA,NA,NA
TMA081420,Le Thi Sang,1/17/1997,KV1,Khong,Khong,8,6.5,7.25,5.75,NA,NA,NA,4.75,NA,NA,NA,NA,NA
KTA064136,Tran Van Hue,7/28/1997,KV2-NT,Khong,Khong,6.5,6,NA,7.5,NA,7.75,NA,2.5,NA,NA,NA,NA,NA
ABC024241,Nguyen Van Nguyet,2/5/1997,KV3,Khong,Khong,8,5.25,5.5,NA,NA,NA,NA,6,NA,NA,NA,NA,NA
TLA052622,Hoang Thi Anh,1/1/1997,KV1,Khong,Khong,7,6.25,8.5,7.5,NA,NA,1.5,7.25,NA,NA,NA,NA,NA
TLA027081,Ho Thi Phuong,2/26/1997,KV2,Khong,Khong,5.5,8.5,6.5,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
BKT065050,Le Van Anh,2/6/1997,KV1,Khong,Khong,7.5,8.25,5.75,7,NA,NA,NA,3,NA,NA,NA,NA,NA
KTA087263,Tran Thi Giang,9/11/1997,KV2,Khong,Khong,3.5,7,7.25,NA,NA,NA,NA,6.75,NA,NA,NA,NA,NA
ABC036985,Pham Thi Hoa,5/17/1997,KV2-NT,Khong,Khong,7.5,3.25,5.25,6.25,4.5,NA,NA,9.25,NA,NA,NA,NA,NA
KTA024172,Tran Van Khoa,1/9/1997,KV2,Khong,Khong,7.25,6.25,6.5,7.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA
KTA036848,Nguyen Thi Ha,12/10/1997,KV1,Khong,Khong,7.5,7,NA,6.75,NA,NA,8.5,3,NA,NA,NA,NA,NA
TMA002730,Le Van Ha,5/1/1997,KV2,Khong,Khong,7.75,6.5,NA,8.5,3.5,NA,NA,5.5,NA,NA,NA,NA,NA
SPB018816,Nguyen Thi Cao,6/8/1997,KV2-NT,Khong,Khong,7,6.5,5.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
CON055916,Le Thi Thang,4/17/1997,KV2,Khong,Khong,6,6.5,NA,7.25,5,NA,NA,NA,NA,NA,NA,NA,NA
TLA014206,Nguyen Thi Sang,11/2/1997,KV2-NT,Khong,Khong,6.5,3.5,7,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA
ABC018434,Tran Van Hue,2/11/1997,KV2,Khong,Khong,5.5,4,NA,6.5,NA,NA,7.75,8,NA,NA,NA,NA,NA
KTA067396,Dang Van Sang,1/19/1997,KV1,Khong,Khong,7.25,6.25,6,NA,4.5,NA,NA,6.25,NA,NA,NA,NA,NA
CON059058,Nguyen Thi Ha,5/5/1997,KV2-NT,Khong,Khong,6.5,8.25,NA,5.5,NA,NA,8,3.5,NA,NA,NA,NA,NA
TLA009549,Do Thi Thang,10/16/1997,KV3,Khong,Khong,7.5,6,7.75,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
TLA029468,Nguyen Thi Cao,7/5/1997,KV3,Khong,Khong,3.75,5.75,6.5,7.5,6.25,NA,7.25,NA,NA,NA,NA,NA,NA
KTA023901,Dang Van Khoa,6/17/1997,KV2-NT,Khong,Khong,5,4.75,8.5,5.25,5.5,NA,NA,8.75,NA,NA,NA,NA,NA
ABC088257,Nguyen Thi Anh,5/8/1997,KV3,Khong,Khong,6.75,NA,6.75,8.75,NA,NA,NA,5.75,NA,NA,NA,NA,NA
CON028962,Nguyen Thi Hung,9/7/1997,KV2,Khong,Khong,6.75,7.5,7.5,NA,8.5,4.5,NA,4.25,NA,NA,NA,NA,NA
TLA069355,Dang Thi Hoa,5/19/1997,KV2-NT,Khong,Khong,7.75,6.25,7.5,4,NA,NA,NA,7.25,NA,NA,NA,NA,NA
KTA065495,Le Thi Hue,8/15/1997,KV3,Khong,Khong,7,3.5,7.75,6.75,NA,5.25,NA,NA,NA,NA,NA,NA,NA
CON041726,Hoang Hai Hung,8/29/1997,KV2,NDT2,Khong,6,6.25,6,7.5,NA,NA,NA,5.5,NA,NA,NA,NA,NA
BKT047093,Bui Thi Kien,4/18/1997,KV3,Khong,Khong,7,NA,8,7.25,4.25,NA,NA,NA,NA,NA,NA,NA,NA
CON038486,Nguyen Thi Kiem,9/2/1997,KV2,Khong,Khong,7.25,5.75,7.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
BKT038432,Le Van Khoa,11/14/1997,KV2-NT,Khong,Khong,7.75,6.5,4.25,6.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
CON049352,Pham Thi Dung,11/4/1997,KV2,Khong,Khong,7.25,6,4,9.25,6.75,NA,NA,6,NA,NA,NA,NA,NA
SPB051377,Tran Van Kiem,4/24/1997,KV1,Khong,Khong,7,5.25,6.5,7.75,NA,NA,NA,4,NA,NA,NA,NA,NA
TLA004825,Hoang Van Hung,1/2/1997,KV3,Khong,Khong,6.5,NA,5.5,8.5,6.25,NA,5,5.75,NA,NA,NA,NA,NA
KTA062518,Le Thi Hai,8/31/1997,KV1,Khong,Khong,6.75,7,5.75,NA,NA,7.75,NA,8,NA,NA,NA,NA,NA
TMA052275,Nguyen Van Hai,1/16/1997,KV1,Khong,Khong,7.25,5,7.5,NA,NA,NA,7.5,3,NA,NA,NA,NA,NA
KTA060330,Phan Thi Nguyet,2/20/1997,KV2-NT,NDT2,Khong,6.75,8.5,4.5,6.75,NA,9,NA,2,NA,NA,NA,NA,NA
ABC051805,Le Van Nga,7/7/1997,KV3,Khong,Khong,7.25,6,7,4.5,NA,NA,NA,5.5,NA,NA,NA,NA,NA
KTA064565,Phan Van Cao,4/11/1997,KV2,Khong,Khong,5.5,4.25,7.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
CON006799,Le Minh Giang,3/26/1997,KV2-NT,Khong,Khong,4.75,7,8.25,7.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPB066987,Le Van Tuan,12/19/1997,KV2-NT,Khong,Khong,6.5,5,NA,7.25,NA,NA,NA,7.25,NA,NA,NA,NA,NA
ABC011859,Nguyen Thi Huong,7/4/1997,KV2,Khong,Khong,9,4.75,6.75,NA,NA,NA,NA,4.25,NA,NA,NA,NA,NA
SPB099602,Le Thi Ha,7/10/1997,KV2,Khong,Khong,6.5,7.25,NA,8.25,NA,NA,NA,5.75,NA,NA,NA,NA,NA
BKT031300,Tran Minh Dung,2/10/1997,KV2,Khong,Khong,6.5,6.75,8.5,9.5,5,NA,8.5,3.5,NA,NA,NA,NA,NA
BKT077248,Pham Nhu Hoa,9/16/1997,KV2,NDT2,Khong,6.5,5,6,NA,NA,NA,NA,8,NA,NA,NA,NA,NA
SPB021353,Nguyen Thi Hoa,6/17/1997,KV1,Khong,Khong,6.5,5.5,5.75,7,NA,NA,9.5,2.25,NA,NA,NA,NA,NA
ABC003804,Nguyen Thi Hue,10/31/1997,KV2,Khong,Khong,5.25,7.25,6,7.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
BKT086025,Nguyen Van Huong,10/10/1997,KV3,Khong,Khong,4,NA,8.25,6.75,NA,8.75,NA,2.5,NA,NA,NA,NA,NA
ABC091791,Nguyen Nhu Quan,2/9/1997,KV2,Khong,Khong,7,5.5,8.25,7.5,6.5,5.25,NA,8.5,NA,NA,NA,NA,NA
TMA015925,Vu Van Hao,6/16/1997,KV3,Khong,Khong,7,5.25,NA,9.25,5.5,NA,9,3.25,NA,NA,NA,NA,NA
KTA043007,Ngo Thi Dung,8/3/1997,KV3,Khong,Khong,7.5,4.75,5.5,5.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA
ABC057070,Le Van Hung,5/4/1997,KV3,Khong,Khong,7,5.25,7,8.5,7.5,NA,NA,5.5,NA,NA,NA,NA,NA
KTA044452,Le Van Hai,2/23/1997,KV2,Khong,Khong,6.25,5.5,NA,8.75,NA,NA,6.75,4,NA,NA,NA,NA,NA
BKT033299,Nguyen Xuan Hai,8/31/1997,KV1,Khong,Khong,6,7.5,7,5.25,NA,NA,5,NA,NA,NA,NA,NA,NA
KTA096866,Nguyen Thi Dung,7/2/1997,KV1,Khong,Khong,5.5,7,NA,7.5,8.5,NA,NA,2,NA,NA,NA,NA,NA
TMA019681,Tran Van Nga,10/7/1997,KV2-NT,Khong,Khong,5.25,6.5,8.25,8.5,NA,NA,NA,3.75,NA,NA,NA,NA,NA
CON001389,Hoang Van Khoa,3/10/1997,KV2,Khong,Khong,6,7.25,7.25,8.5,3.5,NA,6.5,3,NA,NA,NA,NA,NA
CON028294,Phan Thi Quan,3/26/1997,KV3,Khong,Khong,5.5,7.5,NA,5.75,NA,NA,8.25,8.5,NA,NA,NA,NA,NA
KTA037223,Hoang Van Sang,3/20/1997,KV3,Khong,Khong,6.75,7,7.25,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
CON033319,Nguyen Thi Cao,4/13/1997,KV2-NT,Khong,Khong,4.25,6.25,8.5,5.5,NA,NA,NA,6,NA,NA,NA,NA,NA
ABC091121,Nguyen Xuan Thang,10/28/1997,KV2-NT,Khong,Khong,6.5,6,8,8,NA,NA,5.75,2.5,NA,NA,NA,NA,NA
KTA060486,Nguyen Thi Ha,5/28/1997,KV1,Khong,Khong,6,7.25,9.5,NA,NA,NA,NA,2.25,NA,NA,NA,NA,NA
TMA062065,Le Van Kien,5/10/1997,KV2-NT,Khong,Khong,2.25,8.5,6.5,6.5,8.75,NA,NA,NA,NA,NA,NA,NA,NA
BKT053376,Nguyen Van Sang,10/11/1997,KV2-NT,Khong,Khong,4.25,6.25,8,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
CON070055,Pham Van Giang,3/20/1997,KV3,Khong,Khong,6.75,4,6.75,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA
TMA072662,Le Thi Phuong,6/12/1997,KV2-NT,Khong,Khong,6.5,7.5,4.25,9.25,NA,NA,6.25,NA,NA,NA,NA,NA,NA
BKT016324,Hoang Van Giang,11/9/1997,KV2,Khong,Khong,6.5,7.75,5.25,7.5,NA,NA,NA,3,NA,NA,NA,NA,NA
BKT003516,Nguyen Van Kien,2/28/1997,KV3,Khong,Khong,6,5.5,7.75,7,NA,NA,NA,4.25,NA,NA,NA,NA,NA
BKT066466,Nguyen Van Dung,7/8/1997,KV2,Khong,Khong,8.25,6,NA,4,NA,NA,NA,7.25,NA,NA,NA,NA,NA
TLA083365,Tran Thi Giang,7/19/1997,KV2,Khong,Khong,5,NA,7.5,7,NA,6.5,NA,5.25,NA,NA,NA,NA,NA
KTA055561,Nguyen Thi Sang,3/30/1997,KV3,Khong,Khong,8.25,5,7.75,9.5,2.5,NA,NA,3.5,NA,NA,NA,NA,NA
CON066970,Tran Van Ha,7/1/1997,KV2,Khong,Khong,7.5,8.25,5.5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
CON012747,Le Thi Nguyet,9/17/1997,KV3,Khong,Khong,8,6,7.5,NA,NA,NA,7.25,1.5,NA,NA,NA,NA,NA
TMA091388,Nguyen Minh Huong,1/24/1997,KV1,Khong,Khong,6.25,5.75,6.5,5.75,NA,NA,NA,8.75,NA,NA,NA,NA,NA
BKT038897,Nguyen Dang Hoa,4/30/1997,KV2-NT,Khong,Khong,8.25,5,6,8.75,NA,NA,5,3,NA,NA,NA,NA,NA
ABC027960,Vu Thi Ha,9/15/1997,KV3,Khong,Khong,6,3.5,7.75,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
TLA040990,Bui Dang Cao,3/9/1997,KV2,Khong,Khong,6.25,6,4.75,NA,NA,7.25,NA,6.75,NA,NA,NA,NA,NA
BKT083369,Hoang Thi Cao,1/19/1997,KV1,Khong,Khong,8.25,4.5,NA,5.5,4,NA,9.25,4.5,NA,NA,NA,NA,NA
CON002739,Nguyen Thi Cao,8/26/1997,KV2,Khong,Khong,2.5,8,7.5,7.25,8.5,NA,6,3.5,NA,NA,NA,NA,NA
ABC086641,Do Thi Nguyet,7/7/1997,KV1,Khong,Khong,8.25,8,5.75,5.75,NA,NA,NA,3,NA,NA,NA,NA,NA
CON057522,Nguyen Van Quan,9/13/1997,KV2-NT,Khong,Khong,7.75,6.25,7.5,6.25,NA,NA,NA,5,NA,NA,NA,NA,NA
CON005773,Nguyen Van Ha,8/16/1997,KV2,Khong,Khong,3.5,NA,NA,8.25,NA,9,NA,9,NA,NA,NA,NA,NA
SPB024622,Hoang Van Thang,1/10/1997,KV2-NT,Khong,Khong,8.25,NA,7.25,NA,5.25,NA,NA,3.75,NA,NA,NA,NA,NA
TLA057642,Nguyen Thi Dung,5/14/1997,KV2,Khong,Khong,6,5,NA,7.5,5.5,NA,NA,8.5,NA,NA,NA,NA,NA
TMA056970,Pham Hai Hung,4/29/1997,KV3,Khong,Khong,7,4.75,7.25,NA,5,NA,NA,6.75,NA,NA,NA,NA,NA
CON069434,Nguyen Van Anh,4/20/1997,KV2-NT,Khong,Khong,6.25,4.5,8.25,NA,NA,NA,NA,8.25,NA,NA,NA,NA,NA
TMA070109,Tran Thi Hoa,4/16/1997,KV2-NT,Khong,Khong,5.5,7.5,4.5,NA,8.5,NA,NA,6.5,NA,NA,NA,NA,NA
KTA008953,Le Van Kiem,5/16/1997,KV2,Khong,Khong,8,8,NA,NA,NA,NA,6.5,3.25,NA,NA,NA,NA,NA
SPB019306,Tran Van Hoa,9/30/1997,KV2,Khong,Khong,6.25,6.25,7.5,NA,5.75,NA,NA,6,NA,NA,NA,NA,NA
TLA051403,Nguyen Van Nga,1/27/1997,KV2-NT,Khong,Khong,4.25,7,NA,8.75,NA,NA,NA,4,NA,NA,NA,NA,NA
KTA043063,Ly Van Khoa,2/18/1997,KV2,Khong,Khong,8.5,7.5,NA,3.25,NA,6.75,NA,4,NA,NA,NA,NA,NA
BKT040828,Nguyen Nhu Kiem,3/12/1997,KV3,Khong,Khong,7,5.75,5.75,NA,NA,NA,NA,8,NA,NA,NA,NA,NA
CON065411,Pham Xuan Anh,7/24/1997,KV2,Khong,Khong,4.75,4.75,7.5,8.5,NA,NA,NA,7.5,NA,NA,NA,NA,NA
BKT089490,Nguyen Van Khoa,7/10/1997,KV1,Khong,Khong,5.5,6.25,5.5,6.5,NA,NA,6.75,6.25,NA,NA,NA,NA,NA
SPB043543,Le Thi Kiem,8/5/1997,KV2,Khong,Khong,5.5,6.75,NA,5.5,NA,NA,8.75,3.75,NA,NA,NA,NA,NA
CON040453,Dang Thi Cao,11/15/1997,KV1,Khong,Khong,9,NA,5.25,NA,NA,NA,NA,7.25,NA,NA,NA,NA,NA
KTA009057,Le Thi Huong,4/7/1997,KV2-NT,Khong,Khong,6.5,8.5,5.75,NA,NA,NA,NA,8.25,NA,NA,NA,NA,NA
CON041622,Pham Nhu Nguyet,6/30/1997,KV2,Khong,Khong,7.5,5.75,NA,4.75,5.5,NA,NA,8,NA,NA,NA,NA,NA
CON030897,Vu Van Khoa,11/26/1997,KV1,Khong,Khong,3.75,7,6,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABC020848,Phan Van Giang,12/7/1997,KV2,Khong,Khong,6.5,6.5,NA,6.25,8,NA,7.75,3.75,NA,NA,NA,NA,NA
KTA030615,Le Thi Dung,5/28/1997,KV2,Khong,Khong,6.75,6.25,8.5,8,3.5,NA,NA,3,NA,NA,NA,NA,NA
TMA014901,Nguyen Hai Quan,5/10/1997,KV2-NT,Khong,Khong,8.75,4.5,5.25,7.5,NA,NA,NA,4.5,NA,NA,NA,NA,NA
TMA076921,Do Xuan Nga,1/27/1997,KV2-NT,Khong,Khong,6.5,5,6.25,5.5,NA,NA,6.75,NA,NA,NA,NA,NA,NA
SPB038609,Tran Van Khoa,7/8/1997,KV2,Khong,Khong,7,8.75,6.25,NA,6.5,NA,NA,2.25,NA,NA,NA,NA,NA
KTA057585,Nguyen Nhu Hai,4/5/1997,KV1,Khong,Khong,7.5,4,6.75,7.5,NA,NA,NA,5.25,NA,NA,NA,NA,NA
CON041810,Le Van Phuong,5/17/1997,KV2,Khong,Khong,5.75,5.5,6.25,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
BKT076983,Tran Van Huong,1/7/1997,KV3,Khong,Khong,7,6,NA,6.75,NA,NA,7.25,3.25,NA,NA,NA,NA,NA
ABC030651,Nguyen Thi Quan,3/27/1997,KV2-NT,Khong,Khong,8.5,4,6.5,6.75,5,NA,NA,6,NA,NA,NA,NA,NA
KTA050044,Hoang Thi Cao,9/10/1997,KV2,Khong,Khong,6.25,4,7.75,8.75,NA,NA,NA,3.5,NA,NA,NA,NA,NA
